Date,Time,Room_Temp,Room_RH,Exterior_Temp,Exterior_RH
13/03/2012,11:45,17.8275,42.415,18.115,48.375
13/03/2012,12:00,18.1207,42.2453,18.4147,47.808
13/03/2012,12:15,18.4367,42.2267,18.8533,47.432
13/03/2012,12:30,18.7513,42.0987,19.2907,47.024
13/03/2012,12:45,19.0414,42.0686,19.74,45.4743
13/03/2012,13:00,19.2773,42.0347,20.166,45.5467
13/03/2012,13:15,19.5367,41.9947,20.566,44.968
13/03/2012,13:30,19.7307,41.9947,20.8427,45.1813
13/03/2012,13:45,19.9693,42.1253,21.204,45.416
13/03/2012,14:00,20.1407,42.0427,21.5227,45.0213
13/03/2012,14:15,20.3267,42.1787,21.756,44.36
13/03/2012,14:30,20.4713,42.7067,21.984,44.7947
13/03/2012,14:45,20.9093,41.5147,22.108,43.984
13/03/2012,15:00,21.4253,40.956,22.1373,44.5467
13/03/2012,15:15,21.8467,40.6347,22.08,44.7813
13/03/2012,15:30,22.1573,40.8413,21.9373,45.6773
13/03/2012,15:45,22.404,40.8867,21.7067,45.5173
13/03/2012,16:00,22.7307,40.3867,21.4667,45.2373
13/03/2012,16:15,22.9373,39.9227,21.1773,45.0747
13/03/2012,16:30,23.2,39.6133,20.9373,45.072
13/03/2012,16:45,23.436,39.084,20.7107,44.128
13/03/2012,17:00,23.668,38.3013,20.4627,43.2747
13/03/2012,17:15,23.852,37.7867,20.2047,43.6107
13/03/2012,17:30,24.0213,37.712,19.976,45.8293
13/03/2012,17:45,24.1413,37.748,19.756,47.0693
13/03/2012,18:00,24.268,37.8373,19.5273,49.5467
13/03/2012,18:15,24.38,38.2173,19.3013,52.2027
13/03/2012,18:30,24.0707,39.356,19.0413,53.8053
13/03/2012,18:45,23.588,40.1587,18.768,54.928
13/03/2012,19:00,23.2867,40.752,18.4967,55.752
13/03/2012,19:15,23.032,41.2507,18.23,56.0213
13/03/2012,19:30,22.7747,41.616,18.0053,56.584
13/03/2012,19:45,22.5533,42.0027,17.7807,57.5387
13/03/2012,20:00,22.352,42.4373,17.576,57.9147
13/03/2012,20:15,22.1227,42.6267,17.3707,57.5893
13/03/2012,20:30,21.9347,42.7493,17.1607,57.1467
13/03/2012,20:45,21.7133,42.808,16.9407,57.1653
13/03/2012,21:00,21.5373,42.8533,16.6853,57.1813
13/03/2012,21:15,21.348,42.856,16.416,57.2453
13/03/2012,21:30,21.148,42.9227,16.22,57.3653
13/03/2012,21:45,20.9813,42.9413,16.0547,57.5253
13/03/2012,22:00,20.8107,43.016,15.876,57.712
13/03/2012,22:15,20.66,43.0853,15.7213,57.896
13/03/2012,22:30,20.4753,43.1307,15.5673,58.0133
13/03/2012,22:45,20.3147,43.1813,15.4147,57.928
13/03/2012,23:00,20.164,43.24,15.26,58.048
13/03/2012,23:15,19.9967,43.2427,15.066,58.0107
13/03/2012,23:30,19.846,43.248,14.864,57.864
13/03/2012,23:45,19.6773,43.2293,14.6387,57.7173
14/03/2012,0:00,19.526,43.1573,14.4433,57.5627
14/03/2012,0:15,19.3733,43.16,14.2667,57.472
14/03/2012,0:30,19.2087,43.152,13.9887,57.7253
14/03/2012,0:45,19.0527,43.1573,13.7673,58.3413
14/03/2012,1:00,18.8973,43.24,13.6213,58.496
14/03/2012,1:15,18.734,43.2613,13.522,58.1013
14/03/2012,1:30,18.5833,43.2187,13.3787,57.44
14/03/2012,1:45,18.4167,43.1653,13.1973,57.5707
14/03/2012,2:00,18.2727,43.16,12.9067,57.4293
14/03/2012,2:15,18.0973,43.16,12.6573,57.3867
14/03/2012,2:30,17.9533,43.16,12.5453,57.3787
14/03/2012,2:45,17.8173,43.176,12.398,57.3493
14/03/2012,3:00,17.654,43.1653,12.29,56.8533
14/03/2012,3:15,17.5153,43.104,12.176,56.6053
14/03/2012,3:30,17.3267,42.872,12.1367,56.2693
14/03/2012,3:45,17.1553,42.8507,12.072,56.0453
14/03/2012,4:00,17.0253,42.8933,11.9873,55.984
14/03/2012,4:15,16.894,42.856,11.9167,56.0373
14/03/2012,4:30,16.7433,42.752,11.8633,56.0667
14/03/2012,4:45,16.608,42.648,11.836,56.1867
